Block,Latency,Size,,
245,400 ms,466 B,,
246,139 ms,466 B,,
247,1165 ms,467 B,,
248,47 ms,465 B,,
249,268 ms,466 B,,
250,1219 ms,467 B,,
251,57 ms,466 B,,
252,104 ms,466 B,,
253,387 ms,466 B,,
254,411 ms,466 B,,
255,241 ms,466 B,,
256,193 ms,466 B,,
257,294 ms,466 B,,
258,260 ms,466 B,,
259,167 ms,466 B,,
260,137 ms,466 B,,
261,76 ms,466 B,,
262,1031 ms,467 B,,
263,114 ms,466 B,,
264,249 ms,466 B,,
265,140 ms,466 B,,
266,192 ms,466 B,,
267,160 ms,466 B,,
268,651 ms,467 B,,
269,133 ms,466 B,,
270,454 ms,467 B,,
271,167 ms,466 B,,
272,155 ms,466 B,,
273,118 ms,466 B,,
274,221 ms,466 B,,
275,151 ms,466 B,,
276,457 ms,467 B,,
277,124 ms,466 B,,
278,168 ms,466 B,,
279,452 ms,467 B,,
280,350 ms,466 B,,
281,157 ms,466 B,,
282,710 ms,467 B,,
283,81 ms,466 B,,
284,545 ms,467 B,,
285,60 ms,466 B,,
286,387 ms,467 B,,
287,234 ms,466 B,,
288,262 ms,466 B,,
289,144 ms,466 B,,
290,279 ms,466 B,,
291,109 ms,466 B,,
292,174 ms,466 B,,
293,566 ms,467 B,,
294,209 ms,466 B,,
295,277 ms,466 B,,
296,145 ms,466 B,,
297,95 ms,466 B,,
298,72 ms,465 B,,
299,495 ms,467 B,,
300,37 ms,465 B,,
301,103 ms,466 B,,
302,330 ms,466 B,,
303,259 ms,466 B,,
304,146 ms,466 B,,
305,714 ms,467 B,,
306,220 ms,466 B,,
307,242 ms,466 B,,
308,449 ms,467 B,,
309,31 ms,465 B,,
310,761 ms,467 B,,
311,843 ms,467 B,,
312,259 ms,466 B,,
313,192 ms,466 B,,
314,316 ms,466 B,,
315,45 ms,465 B,,
316,646 ms,467 B,,
317,982 ms,467 B,,
318,341 ms,466 B,,
319,106 ms,466 B,,
320,225 ms,466 B,,
321,231 ms,466 B,,
322,36 ms,465 B,,
323,248 ms,466 B,,
324,33 ms,465 B,,
325,21 ms,464 B,,
326,166 ms,466 B,,
327,354 ms,466 B,,
328,254 ms,466 B,,
329,134 ms,466 B,,
330,73 ms,466 B,,
331,398 ms,466 B,,
332,104 ms,466 B,,
333,70 ms,466 B,,
334,97 ms,466 B,,
335,180 ms,466 B,,
336,540 ms,467 B,,
337,117 ms,466 B,,
338,145 ms,466 B,,
339,356 ms,466 B,,
340,69 ms,466 B,,
341,207 ms,466 B,,
342,29 ms,465 B,,
343,459 ms,467 B,,
344,224 ms,466 B,,
345,122 ms,466 B,,
346,60 ms,465 B,,
347,324 ms,466 B,,
348,84 ms,466 B,,
349,12 ms,464 B,,
350,25 ms,465 B,,
351,558 ms,467 B,,
352,122 ms,466 B,,
353,161 ms,466 B,,
354,363 ms,466 B,,
355,630 ms,467 B,,
356,871 ms,467 B,,
357,74 ms,466 B,,
358,119 ms,466 B,,
359,225 ms,466 B,,
360,143 ms,466 B,,
361,416 ms,467 B,,
362,178 ms,466 B,,
363,28 ms,465 B,,
364,397 ms,467 B,,
365,983 ms,467 B,,
366,62 ms,466 B,,
367,132 ms,466 B,,
368,105 ms,466 B,,
369,122 ms,466 B,,
370,423 ms,467 B,,
371,181 ms,466 B,,
372,29 ms,465 B,,
373,358 ms,466 B,,
374,290 ms,466 B,,
375,375 ms,466 B,,
376,795 ms,467 B,,
377,467 ms,467 B,,
378,175 ms,466 B,,
379,67 ms,465 B,,
380,252 ms,466 B,,
381,325 ms,466 B,,
382,33 ms,465 B,,
383,51 ms,465 B,,
384,86 ms,466 B,,
385,645 ms,467 B,,
386,70 ms,466 B,,
387,41 ms,465 B,,
388,116 ms,466 B,,
389,88 ms,466 B,,
390,295 ms,466 B,,
391,542 ms,467 B,,
392,148 ms,466 B,,
393,96 ms,466 B,,
394,142 ms,466 B,,
395,18 ms,465 B,,
396,37 ms,465 B,,
397,126 ms,466 B,,
398,115 ms,466 B,,
399,1359 ms,467 B,,
400,489 ms,467 B,,
401,173 ms,466 B,,
402,62 ms,466 B,,
403,329 ms,466 B,,
404,124 ms,466 B,,
405,1331 ms,467 B,,
406,49 ms,465 B,,
407,224 ms,466 B,,
408,1214 ms,467 B,,
409,51 ms,466 B,,
410,111 ms,466 B,,
411,415 ms,466 B,,
412,333 ms,466 B,,
413,200 ms,466 B,,
414,163 ms,466 B,,
415,314 ms,466 B,,
416,298 ms,466 B,,
417,150 ms,466 B,,
418,129 ms,466 B,,
419,82 ms,466 B,,
420,1308 ms,467 B,,
421,103 ms,466 B,,
422,238 ms,466 B,,
423,135 ms,466 B,,
424,181 ms,466 B,,
425,174 ms,466 B,,
426,565 ms,467 B,,
427,115 ms,466 B,,
428,507 ms,467 B,,
429,196 ms,466 B,,
430,135 ms,466 B,,
431,78 ms,466 B,,
432,244 ms,466 B,,
433,158 ms,466 B,,
434,512 ms,467 B,,
435,118 ms,466 B,,
436,143 ms,466 B,,
437,559 ms,467 B,,
438,383 ms,466 B,,
439,145 ms,466 B,,
440,606 ms,467 B,,
441,79 ms,466 B,,
442,675 ms,467 B,,
443,55 ms,466 B,,
444,415 ms,467 B,,
445,247 ms,466 B,,
446,253 ms,466 B,,
447,146 ms,466 B,,
448,261 ms,466 B,,
449,102 ms,466 B,,
450,172 ms,466 B,,
451,600 ms,467 B,,
452,215 ms,466 B,,
453,303 ms,466 B,,
454,124 ms,466 B,,
455,96 ms,466 B,,
456,50 ms,465 B,,
457,432 ms,467 B,,
458,28 ms,465 B,,
459,120 ms,466 B,,
460,331 ms,466 B,,
461,233 ms,466 B,,
462,151 ms,466 B,,
463,885 ms,467 B,,
464,231 ms,466 B,,
465,233 ms,466 B,,
466,417 ms,467 B,,
467,35 ms,465 B,,
468,795 ms,467 B,,
469,750 ms,467 B,,
470,285 ms,466 B,,
471,197 ms,466 B,,
472,305 ms,466 B,,
473,28 ms,465 B,,
474,744 ms,467 B,,
475,729 ms,467 B,,
476,325 ms,466 B,,
477,104 ms,466 B,,
478,299 ms,466 B,,
479,267 ms,466 B,,
480,34 ms,465 B,,
481,296 ms,466 B,,
482,33 ms,465 B,,
483,21 ms,464 B,,
484,220 ms,466 B,,
485,357 ms,466 B,,
486,220 ms,466 B,,
487,142 ms,466 B,,
488,74 ms,466 B,,
489,394 ms,466 B,,
490,85 ms,466 B,,
491,64 ms,466 B,,
492,85 ms,466 B,,
493,193 ms,466 B,,
494,646 ms,467 B,,
495,129 ms,466 B,,
496,117 ms,466 B,,
497,423 ms,466 B,,
498,66 ms,466 B,,
499,221 ms,466 B,,
500,31 ms,465 B,,
